query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Tubaphis,Tubaphis ranunculina,ncbi,Tubaphis ranunculina,Tubaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Nasonovia ribisnigri,Nasonovia ribisnigri,ncbi,Nasonovia ribisnigri,Nasonovia,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Ovatus,Ovatus insitus,ncbi,NA,Ovatus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Ovatus crataegarius,Ovatus crataegarius,ncbi,Ovatus crataegarius,Ovatus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Periphyllus,Periphyllus,ncbi,NA,Periphyllus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Periphyllus testudinaceus,Periphyllus testudinaceus,ncbi,Periphyllus testudinaceus,Periphyllus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Phorodon humuli,Phorodon humuli,ncbi,Phorodon humuli,Phorodon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Phyllaphis fagi,Phyllaphis fagi,ncbi,Phyllaphis fagi,Phyllaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Pterocallis alni,Pterocallis alni,ncbi,Pterocallis alni,Pterocallis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum,Rhopalosiphum rufulum,ncbi,NA,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum,Rhopalosiphum,ncbi,NA,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum maidis,Rhopalosiphum maidis,ncbi,Rhopalosiphum maidis,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum nymphaeae,Rhopalosiphum nymphaeae,ncbi,Rhopalosiphum nymphaeae,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum oxyacanthae,Rhopalosiphum oxyacanthae,ncbi,Rhopalosiphum oxyacanthae,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Rhopalosiphum padi,Rhopalosiphum padi,ncbi,Rhopalosiphum padi,Rhopalosiphum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Schizaphis,Schizaphis,ncbi,NA,Schizaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Schizolachnus pineti,Schizolachnus pineti,ncbi,Schizolachnus pineti,Schizolachnus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Sipha,Sipha glyceriae,ncbi,NA,Sipha,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Sitobion,Sitobion,ncbi,NA,Sitobion,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Sitobion,Sitobion alopecuri,ncbi,NA,Sitobion,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Sitobion avenae,Sitobion avenae,ncbi,Sitobion avenae,Sitobion,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Sitobion fragariae,Sitobion fragariae,ncbi,Sitobion fragariae,Sitobion,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Subsaltusaphis,Subsaltusaphis,ncbi,NA,Subsaltusaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Tuberculatus,Tuberculatus,ncbi,NA,Tuberculatus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Tuberculatus,Tuberculatus borealis,ncbi,NA,Tuberculatus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Tuberculatus annulatus,Tuberculatus annulatus,ncbi,Tuberculatus annulatus,Tuberculatus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Uroleucon,Uroleucon,ncbi,NA,Uroleucon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Utamphorophora humboldti,Utamphorophora humboldti,ncbi,Utamphorophora humboldti,Utamphorophora,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Wahlgreniella arbuti,Wahlgreniella arbuti,ncbi,Wahlgreniella arbuti,Wahlgreniella,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aploneura lentisci,Aploneura lentisci,ncbi,Aploneura lentisci,Aploneura,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Eriosoma,Eriosoma,ncbi,NA,Eriosoma,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Eriosoma patchiae,Eriosoma patchiae,ncbi,Eriosoma patchiae,Eriosoma,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Eriosoma ulmi,Eriosoma ulmi,ncbi,Eriosoma ulmi,Eriosoma,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Forda formicaria,Forda formicaria,ncbi,Forda formicaria,Forda,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Kaltenbachiella pallida,Kaltenbachiella pallida,ncbi,Kaltenbachiella pallida,Kaltenbachiella,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Pachypappa,Pachypappa tremulae,ncbi,NA,Pachypappa,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Pemphigus,Pemphigus,ncbi,NA,Pemphigus,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Pemphigus populi,Pemphigus populi,ncbi,Pemphigus populi,Pemphigus,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Prociphilus pini,Prociphilus pini,ncbi,Prociphilus pini,Prociphilus,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Tetraneura ulmi,Tetraneura ulmi,ncbi,Tetraneura ulmi,Tetraneura,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Thecabius affinis,Thecabius affinis,ncbi,Thecabius affinis,Thecabius,Pemphigidae,Hemiptera,Insecta,Arthropoda,Metazoa
Daktulosphaira vitifoliae,Phylloxeridae,ncbi,Daktulosphaira vitifoliae,Daktulosphaira,Phylloxeridae,Hemiptera,Insecta,Arthropoda,Metazoa
Thelaxes dryophila,Thelaxes dryophila,ncbi,Thelaxes dryophila,Thelaxes,Thelaxidae,Hemiptera,Insecta,Arthropoda,Metazoa
Apis mellifera,Apis mellifera,ncbi,Apis mellifera,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Bombus,Bombus,ncbi,NA,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Bombus,Bombus,ncbi,NA,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Bombus hypocrita,Bombus hypocrita,ncbi,Bombus hypocrita,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Bombus hypocrita,Hymenoptera,ncbi,Bombus hypocrita,Bombus,Apidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Cotesia congregata,Parasitoids,ncbi,Cotesia congregata,Cotesia,Braconidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Vespula vulgaris,Vespula vulgaris,ncbi,Vespula vulgaris,Vespula,Vespidae,Hymenoptera,Insecta,Arthropoda,Metazoa
Alucita hexadactyla,Alucita hexadactyla,ncbi,Alucita hexadactyla,Alucita,Alucitidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Blastobasis adustella,Blastobasis adustella,ncbi,Blastobasis adustella,Blastobasis,Blastobasidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Coleophora albicosta,Coleophora albicosta,ncbi,Coleophora albicosta,Coleophora,Coleophoridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriphila geniculea,Agriphila geniculea,ncbi,Agriphila geniculea,Agriphila,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriphila inquinatella,Agriphila inquinatella,ncbi,Agriphila inquinatella,Agriphila,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriphila straminella,Agriphila straminella,ncbi,Agriphila straminella,Agriphila,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriphila tristella,Agriphila tristella,ncbi,Agriphila tristella,Agriphila,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chrysoteuchia culmella,Chrysoteuchia culmella,ncbi,Chrysoteuchia culmella,Chrysoteuchia,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Crambus,Crambus whitmerella,ncbi,NA,Crambus,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Crambus perlella,Crambus perlella,ncbi,Crambus perlellus,Crambus,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eudonia angustea,Eudonia angustea,ncbi,Eudonia angustea,Eudonia,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eudonia mercurella,Eudonia mercurella,ncbi,Eudonia mercurella,Eudonia,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eurrhypara hortulata,Eurrhypara hortulata,ncbi,Eurrhypara hortulata,Eurrhypara,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Evergestis forficalis,Evergestis forficalis,ncbi,Evergestis forficalis,Evergestis,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Nomophila noctuella,Nomophila noctuella,ncbi,Nomophila noctuella,Nomophila,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pleuroptya ruralis,Pleuroptya ruralis,ncbi,Patania ruralis,Patania,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scoparia ambigualis,Scoparia ambigualis,ncbi,Scoparia ambigualis,Scoparia,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Udea ferrugalis,Udea ferrugalis,ncbi,Udea ferrugalis,Udea,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Udea lutealis,Udea lutealis,ncbi,Udea lutealis,Udea,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Udea olivalis,Udea olivalis,ncbi,Udea olivalis,Udea,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Udea prunalis,Udea prunalis,ncbi,Udea prunalis,Udea,Crambidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Achlya flavicornis,Achlya flavicornis,ncbi,Achlya flavicornis,Achlya,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cilix glaucata,Cilix glaucata,ncbi,Cilix glaucata,Cilix,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cymatophorina diluta,Cymatophorina diluta,ncbi,Cymatophorima diluta,Cymatophorima,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Drepana falcataria,Drepana falcataria,ncbi,Drepana falcataria,Drepana,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Falcaria lacertinaria,Falcaria lacertinaria,ncbi,Falcaria lacertinaria,Falcaria,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Habrosyne pyritoides,Habrosyne pyritoides,ncbi,Habrosyne pyritoides,Habrosyne,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ochropacha duplaris,Ochropacha duplaris,ncbi,Ochropacha duplaris,Ochropacha,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
